p1_0,p1_1,p1_2,p1_3,p2_0,p2_1,p2_2,p2_3,an_event
27373,5039,31728,23128,3626,7611,31416,14874,-2559784181
13442,6348,25379,16597,4665,25495,7470,2952,-675452006
392,27126,378,8777,18929,6284,19824,24088,-763943100
15210,20436,29172,12686,20129,3274,9933,14307,-464053739
22623,1907,10728,4980,21181,32650,17688,24543,209826054
20758,9646,27077,29237,22185,18011,2839,18173,-642879294
4122,23940,16509,23630,23900,8048,20884,3794,-1057187431
8093,8208,1216,14342,25196,14337,26629,14143,-297976824
1973,27338,5440,6085,28359,25447,6098,10452,-1473024190
23102,19522,18188,29371,13410,28865,24244,3865,-1616361631
13732,15594,8570,13451,18974,17805,32616,15773,-1017591067
6064,11016,28243,15826,25258,31422,15958,26133,-2114570708
8948,10228,20797,27095,29772,20115,24231,888,-934699896
2476,1342,20113,20296,8713,25567,9847,28676,-1585606140
26075,10291,14556,8931,4043,32419,2171,9065,-681572231
13698,29490,16374,23890,9220,6337,31879,6512,-1476314094
21616,10825,12444,15547,2355,18452,18948,31893,-1760993056
17256,20998,9632,3915,14615,27936,19245,25933,-1242645076
748,8813,3506,19542,13712,25914,29537,9502,-1014763338
19540,16957,25432,5385,7969,11897,22399,3181,-1265666432
6389,17853,31232,12424,10602,7928,19433,11590,-1649482011
23177,5626,17077,13938,10966,17257,8678,19073,-513940986
30900,9583,27752,3596,22869,587,26186,19250,-189866625
2571,18549,14751,1093,8202,17398,32094,4161,-1559225875
30937,23028,27871,3829,756,23555,25432,10974,-2539764938
648,9184,18160,16047,17922,3516,13621,6882,-756989096
6961,20837,10160,23350,27705,29013,24563,3218,-1472813535
7645,75,17813,329,31507,7107,2673,2256,383915179
18914,18537,30441,2803,12476,22770,15769,21366,-1452092768
3595,21373,7120,9628,26564,6483,9859,19764,-607125702
24931,31667,14708,15165,7289,11437,26303,16144,-1624316684
9422,12985,24350,21337,3103,31981,32582,10816,-2820395344
23246,28925,3781,2533,17552,32420,22138,17169,-1313878776
27414,25776,7553,12622,6217,13841,8090,11582,-787265607
27953,10541,16022,8824,23313,22420,7226,16548,307045805
18165,11447,835,12959,15656,7382,30792,25682,-317309060
22192,18267,6085,27941,27912,12062,25789,12284,-202163308
25989,7063,9646,26640,15252,17094,876,27320,-921228252
5610,7224,11941,21923,2858,8353,4786,30454,-1538252587
8913,12715,9112,9480,1528,8149,26047,27454,-1175210218
891,28215,8907,13196,27658,2702,1594,28078,-872652513
7725,29055,19454,2292,26462,2412,23004,1322,-632447458
9688,21680,80,21226,15979,19093,27272,10732,-978245174
32622,1215,688,25424,9153,26404,28868,17731,-408327377
17342,23786,11767,21888,27615,17111,11323,22986,-1128966828
28507,31131,28518,21501,8851,1187,17416,8453,-926137010
27010,17116,12906,16214,25304,28052,13621,24033,-724317734
2647,28524,895,925,27179,16051,32451,32672,-890370344
28308,7889,1727,7787,13225,30635,3687,28628,-193236220
5278,5950,6986,18843,6110,277,29804,14575,-904538051
15461,7768,8094,9197,12269,28778,17037,13249,-587229765
265,14160,28296,27747,30141,6209,28265,24697,-3130011314
1784,25224,10002,10464,26260,27073,19091,14772,-1963187124
28863,7634,21405,23804,12401,30413,13346,691,-352778747
24254,12864,9748,3180,9545,15088,3229,22659,-132276587
21022,23004,30880,31785,18077,11818,21276,6599,-1517210119
20564,11329,2020,984,32705,15497,13276,28888,883442703
25678,30826,9077,5929,13764,7727,12262,25964,-300041777
13619,6130,8627,32095,10912,23855,30258,23072,-1998360248
143,31339,19925,32137,18900,31795,18316,22333,-4152794132
25669,32330,29064,3616,14386,23936,12950,23630,-1732832027
30595,3758,343,30779,14020,16929,18720,27917,-1000731929
4979,16086,26552,26785,32505,16262,26650,30102,-3227314661
21170,3650,16347,8815,289,25227,32372,25147,-1673682057
32152,17652,12262,15429,29932,28033,19665,28741,-434104398
15052,16859,7651,27172,29153,25598,3981,16294,-931901892
10738,17632,8397,2312,27529,19572,27416,20684,-655066166
29760,31189,22705,13053,12474,19427,26839,3026,-1767153449
27886,17203,24929,19027,12279,9122,24725,8385,-1180869746
7010,25329,24701,26112,2411,28886,15965,15752,-3040903234
19691,8961,8385,7390,23625,21412,141,32107,69697556
10833,14201,2833,792,27991,22386,12170,26101,-139687561
24338,3237,16661,17657,27823,30688,4273,30715,-71470066
15622,14526,26106,18582,16068,14285,23924,19958,-1903835231
21475,12426,15380,17504,22329,11579,3593,29021,-455226937
3201,212,23381,20921,15368,11615,9440,20726,-1215217092
20820,10945,17196,30676,10291,21124,4995,23962,-1675825505
29724,31915,27547,26563,4202,16755,306,2756,-982969724
21878,26612,29182,11783,3142,16418,31054,7301,-2720879972
15091,31618,14971,22498,13401,28031,4554,13311,-2103439781
12963,18156,10630,1361,1273,30720,7243,17474,-1284085034
4424,28548,11789,13636,14561,16445,6572,12021,-1292945660
32202,15304,13271,15154,8352,31415,21263,10242,-1298457415
1317,29504,24361,25467,2479,23528,3137,15670,-2332831659
10011,27079,28776,22780,15588,17990,7246,4474,-1283113512
7905,6949,1789,26645,17891,27975,30728,30015,-1815421037
28691,8427,15750,11142,27406,22990,32329,943,145721880
3200,7752,10061,14158,27818,23831,2397,15861,-688795146
21532,29278,30315,24795,3606,6480,20205,1496,-1523406075
6876,18535,14888,17932,27762,24366,28329,7086,-1619151138
31866,11370,27601,8327,30342,13067,13847,16049,604923859
31740,17057,3483,8516,7170,24933,22096,599,-559551848
6646,26162,6029,7005,27175,24457,27702,26727,-1626996195
26350,153,27004,22941,7896,29330,15605,32622,-1932447631
27016,25431,6328,12195,987,31492,27866,21938,-2436189057
69,30599,30026,7113,20025,15977,31706,29039,-3292152452
32251,18786,13794,2980,20014,1607,29862,749,402249245
28524,12497,4961,22429,25727,20568,19102,17550,-23212558
1818,10899,25052,9783,2049,29664,26393,3417,-2028449351
22518,21307,9600,24575,5667,30734,3750,6916,-1466465023
22355,21381,7723,22008,27911,5830,22736,23763,-398587085
